Number;ident;Latitude;Longitude;y_proj;x_proj;comment;Date;ltime
1;1;-7.529055556;-34.96186111;-7.529055556;-34.96186111;;21/03/2021;12:33
2;2;-7.529694444;-34.96119444;-7.529694444;-34.96119444;;21/03/2021;12:41
3;3;-7.529888889;-34.96113889;-7.529888889;-34.96113889;;21/03/2021;12:58
4;4;-7.525972222;-34.96291667;-7.525972222;-34.96291667;;21/03/2021;13:27
5;5;-7.520472222;-34.96133333;-7.520472222;-34.96133333;;21/03/2021;14:35
6;6;-7.520638889;-34.96108333;-7.520638889;-34.96108333;;28/03/2021;11:15
7;7;-7.520611111;-34.96108333;-7.520611111;-34.96108333;;28/03/2021;11:35
8;8;-7.5215;-34.96155556;-7.5215;-34.96155556;;28/03/2021;11:45
9;9;-7.521388889;-34.96180556;-7.521388889;-34.96180556;;01/04/2021;11:06
10;10;-7.521722222;-34.96255556;-7.521722222;-34.96255556;;01/04/2021;11:23
11;11;-7.51875;-34.96672222;-7.51875;-34.96672222;;01/04/2021;11:49
12;12;-7.526722222;-34.96147222;-7.526722222;-34.96147222;;01/04/2021;12:17
13;13;-7.526722222;-34.96147222;-7.526722222;-34.96147222;;01/04/2021;12:42
14;14;-7.526444444;-34.96136111;-7.526444444;-34.96136111;;01/04/2021;12:56
15;15;-7.526194444;-34.9615;-7.526194444;-34.9615;;01/04/2021;13:19
16;16;-7.526083333;-34.96166667;-7.526083333;-34.96166667;;01/04/2021;15:20
17;17;-7.526111111;-34.96194444;-7.526111111;-34.96194444;;04/04/2021;12:09
18;18;-7.526083333;-34.96222222;-7.526083333;-34.96222222;;10/03/2021;12:00
19;19;-7.525972222;-34.96291667;-7.525972222;-34.96291667;;23/03/2021;09:58
20;20;-7.520111111;-34.96175;-7.520111111;-34.96175;;2303/2021;10:08
21;21;-7.520138889;-34.96183333;-7.520138889;-34.96183333;;28/03/2021;08:50
22;22;-7.520111111;-34.96175;-7.520111111;-34.96175;;28/03/2021;09:01
23;23;-7.520722222;-34.96119444;-7.520722222;-34.96119444;;28/03/2021;09:12
24;24;-7.521111111;-34.96147222;-7.521111111;-34.96147222;;30/03/2021;11:25
25;25;-7.517944444;-34.96688889;-7.517944444;-34.96688889;;30/03/2021;11:31
26;26;-7.518305556;-34.967;-7.518305556;-34.967;;30/03/2021;11:44
27;27;-7.521972222;-34.96183333;-7.521972222;-34.96183333;;30/03/2021;12:39
28;28;-7.518416667;-34.96625;-7.518416667;-34.96625;;30/03/2021;12:55
29;29;-7.527555556;-34.96208333;-7.527555556;-34.96208333;;30/03/2021;12:58
30;30;-7.527888889;-34.96211111;-7.527888889;-34.96211111;;30/03/2021;13:10
31;31;-7.528416667;-34.96202778;-7.528416667;-34.96202778;;30/03/2021;13:29
32;32;-7.529222222;-34.962;-7.529222222;-34.962;;03/04/2021;10:13
